"id","matcat_id","shape","geom1","geom2","geom3","descript","link","brand","model","svg","estimated_y","cost_unit","cost","active","label","node_type","acoeff"
"HIDROCARB",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/hidrocarb.svg",NULL,"u",NULL,True,NULL,"HIDROCARB",NULL
"OB","OB","DESCONEGUT",0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"OB100x100-RE","OB","RECTANGULAR",1.0,1.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"OB60-CC","OB","CIRCULAR",0.6,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"OB60x60-RE","OB","RECTANGULAR",0.6,0.6,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE","PE","DESCONEGUT",0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE29x25-RE","PE","RECTANGULAR",0.29,0.25,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE30x30-RE","PE","RECTANGULAR",0.3,0.3,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE35x35-RE","PE","RECTANGULAR",0.35,0.35,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE40-CC","PE","CIRCULAR",0.4,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE40x25-RE","PE","RECTANGULAR",0.4,0.25,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE40x40-RE","PE","RECTANGULAR",0.4,0.4,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE45x45-RE","PE","RECTANGULAR",0.45,0.45,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE50x50-RE","PE","RECTANGULAR",0.5,0.5,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE58-CC","PE","CIRCULAR",0.58,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE60-CC","PE","CIRCULAR",0.6,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE60x60-RE","PE","RECTANGULAR",0.6,0.6,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE61x32-RE","PE","RECTANGULAR",0.61,0.32,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE65-CC","PE","CIRCULAR",0.65,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PE65x65-RE","PE","RECTANGULAR",0.65,0.65,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PVC","PVC","DESCONEGUT",0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PVC20-CC","PVC","CIRCULAR",0.2,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PVC60-CC","PVC","CIRCULAR",0.6,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/pou.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"PVC60x60-RE","PVC","RECTANGULAR",0.6,0.6,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/arq.svg",NULL,"u",NULL,True,NULL,"POU",NULL
"SMD",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/smd.svg",NULL,"u",NULL,True,NULL,"SMD",NULL
"TANC",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/tanc.svg",NULL,"u",NULL,True,NULL,"TANC",NULL
"UNIO",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,"UNIO","/svg/ud_svg/unio.svg",NULL,"u",NULL,True,NULL,"AEU",NULL
"VALV",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/valv.svg",NULL,"u",NULL,True,NULL,"VALV",NULL
"VENT",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/vent.svg",NULL,"u",NULL,True,NULL,"VENT",NULL
"VEU",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/veu.svg",NULL,"u",NULL,True,NULL,"VEU",NULL
"VRET",NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,"/svg/ud_svg/vret.svg",NULL,"u",NULL,True,NULL,"VRET",NULL
