node_id,CONSUM,code
11423,4576,PR0022875
11427,3024,PR0022874
11464,4576,PR0030228
11465,4576,PR0022430
11466,4576,PR0001333
11470,3179,PR0001332
11478,20700,PR0001327
11479,0,PR0001329
11480,9386,PR0001331
11481,1265,PR0021466
11482,1265,PR0001330
11485,4576,PR0022872
11499,387,PR0022870
11532,8848,PR0022867
11533,234,PR0022868
11556,234,PR0022866
11569,32,PR0003183
11664,56,PR0002097
11666,2292,PR0022865
11669,5522,PR0002128
11730,36,PR0022855
11733,490,PR0022854
11740,76,PR0022853
11753,76,PR0022852
11778,752,PR0022851
11782,456,PR0022850
11814,242,PR0022849
11816,737,PR0022848
11828,76,PR0022847
11839,752,PR0022846
11843,1950,PR0022845
11855,2145,PR0022844
11868,737,PR0022843
11879,236,PR0022842
11884,168,PR0022841
11885,236,PR0022840
11897,120,PR0022839
11899,168,PR0022838
11901,168,PR0022837
11903,168,PR0022836
11904,168,PR0022835
11906,3480,PR0022834
1191,4662,PR0024241
11919,3480,PR0022833
1192,4260,PR0024220
11921,3480,PR0022832
11922,3480,PR0022831
11928,3480,PR0021613
1193,4383,PR0024219
11938,246,PR0022829
11943,3480,PR0022827
11944,3480,PR0022828
11959,246,PR0022823
1199,22200,PR0001580
120,1260,PR0024341
12010,246,PR0022822
12023,0,PR0022821
12026,4764,PR0022820
1203,13640,PR0024218
12030,0,PR0022819
12034,654,PR0022818
12039,90,PR0022817
12043,9590,PR0022816
12047,3480,PR0022815
1205,87,PR0024217
12067,43,PR0050027
12068,43,PR0050028
12069,43,PR0050026
12074,6375,PR0002184
12077,115,PR0002050
12188,3696,PR0022812
12189,3696,PR0022811
12190,3696,PR0022810
12191,3696,PR0022809
12192,3696,PR0022808
12193,3696,PR0022806
12194,3696,PR0022807
12195,96,PR0022805
12196,96,PR0022804
12197,3696,PR0022802
12198,3696,PR0022803
12199,96,PR0022801
12200,96,PR0022799
12201,96,PR0022800
12202,96,PR0022798
12203,96,PR0022797
12204,96,PR0022796
12205,96,PR0022795
12206,96,PR0022794
12207,96,PR0022793
12208,96,PR0022792
12209,96,PR0022791
12210,96,PR0022790
12211,96,PR0022789
12212,96,PR0022787
12213,96,PR0022788
12215,7140,PR0022784
12216,7140,PR0022785
12220,7140,PR0022786
12233,7140,PR0022783
12234,7140,PR0022782
12236,7140,PR0022781
12238,7140,PR0022780
12241,7140,PR0022778
12242,7140,PR0022779
12258,128,PR0022777
12260,7140,PR0004060
123,6726,PR0024340
1233,120,PR0024216
1234,120,PR0024215
12352,2544,PR0020450
12355,385,PR0022761
12362,1872,PR0022760
12364,1080,PR0022759
12367,53372,PR0022758
1238,990,PR0021984
12392,36144,PR0022757
12394,36144,PR0022756
12396,36144,PR0022754
12397,1071,PR0022755
12398,4,PR0022753
1240,869,PR0024209
12404,36144,PR0022752
12423,5522,PR0030248
12427,5522,PR0030247
12429,75785,PR0022751
12435,5522,PR0002337
12436,5522,PR0002338
12437,63,PR0030246
1249,869,PR0024214
1251,869,PR0024212
12511,2036,PR0022742
12514,230,PR0022741
12516,1027,PR0022740
12518,1027,PR0022739
1252,869,PR0024213
12521,1027,PR0022737
12522,1027,PR0022738
12526,230,PR0002224
12527,230,PR0022736
12538,4498,PR0022735
12539,145,PR0022734
12541,252,PR0002225
12549,4620,PR0030245
12555,98,PR0022733
12565,240,PR0022732
12567,430,PR0022730
12568,240,PR0022731
12571,240,PR0022729
12573,430,PR0022727
12574,1050,PR0022728
12595,63,PR0005027
12613,312,PR0001239
12614,312,PR0001238
12624,192,PR0022724
12632,196,PR0022723
12634,304,PR0022721
12635,51,PR0022722
12638,312,PR0022720
12643,312,PR0022719
12647,192,PR0022718
1265,869,PR0024211
12652,196,PR0022717
12658,176,PR0022716
12663,24,PR0022715
1267,869,PR0024210
12671,42,PR0022713
12672,42,PR0022714
1270,869,PR0024208
12709,102,PR0022711
12713,1812,PR0022710
12715,1812,PR0022709
12717,1812,PR0022708
12719,1812,PR0022707
1272,990,PR0024207
12720,1812,PR0022706
12722,1812,PR0022705
12724,1812,PR0022704
12726,1812,PR0022703
12728,1812,PR0022701
12729,1812,PR0022702
1274,990,PR0024205
12743,102,PR0022699
12745,78,PR0022698
1275,990,PR0024206
12760,1005,PR0022693
12769,5368,PR0022692
1277,3018,PR0024204
12772,18592,PR0022690
12774,4296,PR0022689
12776,2,PR0022688
12779,1002,PR0022687
12812,13518,PR0011009
12813,13518,PR0020134
12816,40698,PR0020135
1282,3018,PR0024203
1284,3018,PR0024202
12856,294,PR0030244
12857,4,PR0030243
12859,6264,PR0030242
1286,3018,PR0024201
12861,6264,PR0005315
12862,0,PR0030241
12872,2740,PR0000565
12873,2740,PR0022684
1288,3018,PR0024200
12895,40,PR0022682
1290,3018,PR0024199
12903,235,PR0000355
12904,235,PR0010749
12909,286,PR0022679
1292,3018,PR0024198
12926,2400,PR0022677
12927,1770,PR0022678
12935,2400,PR0022675
12936,1770,PR0022676
12938,5064,PR0022674
1294,3018,PR0024197
12947,6300,PR0022673
1296,3018,PR0024196
12961,5064,PR0022672
12963,6300,PR0022670
12964,5064,PR0022671
12968,410,PR0022669
1298,3018,PR0024195
1300,3018,PR0024194
1303,3018,PR0024193
13079,528,PR0030240
13108,10,PR0022666
13110,62,PR0022665
13112,62,PR0022664
13114,62,PR0022663
13116,0,PR0022662
13118,286,PR0022661
13120,286,PR0022660
13122,286,PR0022659
13124,286,PR0022658
13126,286,PR0022657
13128,78,PR0022656
13130,390,PR0022655
13132,6,PR0022654
13134,0,PR0022653
13136,0,PR0022652
13153,0,PR0022650
13154,0,PR0022649
1322,869,PR0021157
1325,869,PR0021156
1328,869,PR0021155
1330,357,PR0021154
1333,0,PR0021153
13353,3342,PR0022640
13364,892038,PR0022639
1337,869,PR0021152
13389,116,PR0022636
1340,990,PR0021151
13412,288,PR0022633
13414,245,PR0002075
13415,2743,PR0022632
13425,1432,PR0022631
13434,936,PR0022630
13447,90288,PR0022628
13459,60,PR0000367
13460,96,PR0022627
1347,990,PR0021150
13480,5922,PR0022626
1350,990,PR0021149
13504,5922,PR0022625
13532,2743,PR0022624
13533,2743,PR0022623
13542,115,PR0021136
13544,115,PR0022616
1358,3018,PR0021148
13607,2992,PR0022610
13608,2992,PR0022612
1361,3018,PR0021147
13621,0,PR0022608
13623,104,PR0022607
13632,9438,PR0022606
1364,3018,PR0021146
13644,221072,PR0022604
13648,221072,PR0022603
13652,9438,PR0022602
13654,4760,PR0022601
13660,123,PR0022600
13666,4760,PR0022078
13669,4760,PR0022595
1368,3018,PR0021145
13685,2376,PR0022593
13686,4760,PR0022594
13692,221072,PR0022591
13693,9438,PR0022592
13698,221072,PR0022589
13699,221072,PR0022590
13700,8892,PR0022588
13710,221072,PR0022587
13711,221072,PR0022585
13712,221072,PR0022586
13716,455,PR0010421
13719,176,PR0022584
1372,990,PR0021144
13724,9648,PR0010424
13725,565,PR0010426
13726,270,PR0001457
13727,1452,PR0010425
13729,455,PR0010420
1373,3018,PR0021143
13730,5013,PR0000991
13740,852,PR0020163
13752,135,PR0001456
13755,440,PR0010456
13756,240,PR0010457
13769,1173,PR0022583
1385,0,PR0021630
1386,173,PR0021140
1393,990,PR0021138
1394,990,PR0021139
13992,178,PR0021110
13994,96,PR0010619
1400,869,PR0021158
14013,34230,PR0022569
1402,869,PR0021135
14037,312,PR0022567
14044,5796,PR0022566
1406,990,PR0021134
14065,240,PR0022562
1407,990,PR0021133
14077,610,PR0022561
14080,384,PR0030092
14081,384,PR0030091
1410,990,PR0021132
1423,869,PR0021129
1425,869,PR0021128
1427,869,PR0021127
