code,node_id_old,node_id_new
PR0021659,19585,15757
PR0021498,20243,15887
PR0021486,20363,15901
PR0021484,20378,15902
PR0021448,21071,15929
PR0002882,36380,18723
PR0030242,12859,14895
PR0022561,14077,14990
PR0022512,14340,14995
PR0022511,14341,14996
PR0002281,26811,17101
PR0020602,28137,17473
PR0020601,28138,17474
PR0021335,22092,16019
PR0021334,22096,16020
PR0005334,24417,16199
PR0004781,24419,16200
PR0005013,24445,16213
PR0005022,24447,16214
PR0005023,24449,16215
PR0004971,24453,16216
PR0020927,25100,16398
PR0020926,25102,16399
PR0020914,25124,16411
PR0020890,25167,16425
PR0020600,28139,17475
PR0005469,28189,17489
PR0022489,14419,15018
PR0022198,16596,15279
PR0022191,16628,15288
PR0021664,19573,15752
PR0021530,20099,15854
PR0002161,25680,16475
PR0020786,25775,16501
PR0020785,25776,16502
PR0020769,25845,16517
PR0004982,26244,16673
PR0005016,26245,16674
PR0004685,26279,16702
PR0004751,26280,16703
PR0004840,26296,16717
PR0005048,26297,16718
PR0004848,26299,16719
PR0004638,26501,16881
PR0005025,24618,16258
PR0004728,26611,16962
PR0005238,28460,17572
PR0005102,28190,17490
PR0005101,28191,17491
PR0020723,1457,12984
PR0005090,28223,17503
PR0005088,28225,17504
PR0005233,28497,17582
PR0004557,26538,16909
PR0004566,26541,16910
PR0004546,26562,16924
PR0004545,26564,16925
PR0003948,26583,16939
PR0020653,27751,17425
PR0020652,27752,17426
PR0020651,27753,17427
PR0020650,27754,17428
PR0003293,28961,17652
PR0010122,30479,17794
PR0010121,30483,17795
PR0030025,28504,17583
PR0005226,28551,17592
PR0030022,28562,17595
PR0020331,31942,17953
PR0005087,28228,17505
PR0010120,30484,17796
PR0010146,30509,17810
PR0010150,30511,17811
PR0030013,30726,17859
PR0005251,30759,17871
PR0005252,30765,17872
PR0005565,32297,18009
PR0005564,32298,18010
PR0005549,32324,18024
PR0005548,32325,18025
PR0004793,33952,18152
PR0001564,34163,18265
PR0001574,34164,18266
PR0001577,34165,18267
PR0020167,34892,18471
PR0020166,34893,18472
PR0020165,34895,18473
PR0002271,35729,18541
PR0005086,28231,17506
PR0005085,28233,17507
PR0005055,28313,17540
PR0000516,28430,17560
PR0000518,28436,17562
PR0000519,28440,17563
PR0020293,32061,17958
PR0020300,32126,17962
PR0004191,39545,19483
PR0002278,35899,18570
PR0002262,35900,18571
PR0002259,35903,18574
PR0002247,35916,18586
PR0015082,35959,18603
PR0015081,35960,18604
PR0010005,36736,18837
PR0010003,36737,18838
PR0010017,36744,18839
PR0010014,36747,18840
PR0003852,36791,18854
PR0003845,37381,18949
PR0010114,37521,19009
PR0002607,40738,19802
PR0011166,40777,19806
PR0020123,43754,20427
PR0000621,50222,21815
PR0001169,50259,21851
PR0020037,51064,21942
PR0005571,53842,22572
PR0002727,37923,19146
PR0002726,37924,19147
PR0002720,37925,19148
PR0011255,38015,19160
PR0011254,38016,19161
PR0011207,38590,19259
PR0011192,38591,19260
PR0004238,38647,19272
PR0004237,38648,19273
PR0004207,38856,19337
PR0003999,38936,19349
PR0004001,38937,19350
PR0004186,39097,19401
PR0004146,39433,19415
PR0004125,39511,19452
PR0004097,39526,19465
PR0024250,809,13135
PR0005223,28566,17597
PR0005222,28569,17598
PR0005566,53847,22576
PR0000853,53857,22586
PR0002285,26806,17097
PR0002286,26807,17098
PR0001685,39667,19514
PR0001690,39668,19515
PR0015273,39782,19562
PR0015271,39791,19563
PR0015270,39792,19564
PR0015242,40051,19638
PR0015241,40059,19639
PR0015240,40060,19640
PR0001891,40069,19641
PR0001786,40352,19687
PR0001615,40353,19688
PR0001750,40523,19750
PR0001748,40524,19751
PR0001749,40525,19752
PR0001753,40526,19753
PR0004108,40914,19831
PR0004121,40915,19832
PR0003050,29053,17673
PR0005540,29064,17677
PR0003045,29072,17678
PR0002957,36481,18751
PR0002956,36483,18753
PR0021726,1866,13293
PR0021497,2702,13393
PR0030089,2791,13406
PR0005220,28573,17600
PR0015141,40973,19844
PR0001674,41267,19913
PR0001531,41268,19914
PR0001546,41598,19980
PR0002555,41599,19981
