code,longitude,latitude,pat1,value,dwfscencario_id,node_id
PR0005291,42.019665265884086,2.828617240490096,hora,1.4669802969370462,2,13026
PR0023125,41.96676951712456,2.8371480124594184,hora,6.585782693679872,2,14499
PR0024234,41.97987415225383,2.8259467471719444,hora,0.2262348477217018,2,13148
PR0023124,41.966447532028376,2.837586075498411,hora,6.585782693679872,2,14500
PR0023123,41.967384975299446,2.836428995538958,hora,0.0471680631782514,2,14501
PR0023122,41.96723326778413,2.836649473245308,hora,6.585782693679872,2,14502
PR0023121,41.96707807971854,2.8368700720081543,hora,6.585782693679872,2,14503
PR0023120,41.96688719680949,2.837148909027873,hora,6.585782693679872,2,14504
PR0023117,41.9656839859074,2.82616363336299,hora,0.0332543542420085,2,14505
PR0023118,41.96575254146365,2.826776011379413,hora,0.0761719237781274,2,14506
PR0023116,41.985397594141816,2.8274640733375627,hora,1.882724484528256,2,14507
PR0023113,41.96672739079578,2.8373823608864144,hora,6.585782693679872,2,14508
PR0024344,41.99214389329538,2.809743904399821,hora,30.15890438772156,2,13045
PR0023107,41.96684160691792,2.836579078076281,hora,6.585782693679872,2,14509
PR0023111,41.96648613856312,2.837730354272383,hora,0.2451054711584139,2,14510
PR0023112,41.96656149554284,2.8376254358429382,hora,6.585782693679872,2,14511
PR0023110,41.96704040340199,2.836719969611792,hora,6.585782693679872,2,14512
PR0023109,41.96698554970224,2.836813608399678,hora,6.585782693679872,2,14513
PR0023108,41.96682700492426,2.836548135950399,hora,0.0471680631782514,2,14514
PR0023106,41.96670852123227,2.8368344232039284,hora,6.585782693679872,2,14515
PR0023105,41.96662458535362,2.836959229823838,hora,6.585782693679872,2,14516
PR0023103,41.96669657960444,2.836837305336562,hora,6.585782693679872,2,14517
PR0024233,41.97946863393485,2.826017476064252,hora,0.0335784560625902,2,13149
PR0023102,41.96661252143462,2.836963761450185,hora,6.585782693679872,2,14518
PR0023101,41.966541534468696,2.8370634990655668,hora,6.585782693679872,2,14519
PR0023099,41.96632226703539,2.8373799050163244,hora,6.585782693679872,2,14520
PR0023100,41.96640795129993,2.837256179932346,hora,6.585782693679872,2,14521
PR0023098,41.966683827683575,2.836754337389584,hora,6.585782693679872,2,14522
PR0023097,41.96689544416101,2.836482823316753,hora,0.0471680631782514,2,14523
PR0023096,41.96735870060306,2.8358705163859064,hora,0.0471680631782514,2,14525
PR0023094,41.96699663676057,2.836374505029746,hora,0.0471680631782514,2,14526
PR0023095,41.96728583860693,2.835971940144176,hora,0.0471680631782514,2,14527
PR0023093,41.96749570385708,2.8359607505457056,hora,0.0471680631782514,2,14528
PR0023091,41.96722457144962,2.835807755182,hora,0.0471680631782514,2,14529
PR0023092,41.96734032945159,2.8358148147713176,hora,0.0471680631782514,2,14530
PR0023090,41.96725554574878,2.8357293963686447,hora,0.0471680631782514,2,14531
PR0024231,41.97881226811079,2.826134501809599,hora,0.1733487794231221,2,13150
PR0024232,41.97907636214317,2.8260867195160837,hora,0.0062785990185294,2,13151
